Username,Short_Reviews,Long_Reviews,Restaurant_names,User_rating,Short_Reviews_sentiment
LALA,One of the worst experience Going for brunch with my family!!!,"We have been there a few times but this time was one of the worst experience that we had there!!! 
At the entrance a young lady almost attacked us for asking to...",AllÃ´ mon Coco,20,-1
LALA,Not a good experience..!!!,"Beautiful place, breathtaking view of Burj al Arab but, the food was truly average and 3 stars dishes!
We asked for any kind of meet which was in the menu and t...",Shimmers,30,-0.5
LALA,"Nice place, good food, very good service but it was a ripoff!!!!","This place is in the heart of Old Montreal. It was the first time that my husband and I went there and as I mentioned, the atmosphere, food and service were fin...",Garde Manger,40,0.77
David N,"Easy to Miss, but don't","Tucked behind its tables on the side street west of the St. Lawrence Market it's easy to miss - but don't.  Great flavor, attentive service, good variety of off...",Bindia Indian Bistro,50,0.43
David N,Perfectly paced,"Energetic, knowledgeable, personable, perfectly paced. Good communication before. Met as we agreed. Seemed to pitch the tour to our level of interest. Fair pric...",Campania Guide - Private Day Tours,50,1
David N,Small and tasty,We ate at the few outdoor tables that about double their seating.  The corn beef hash was really a corn-beef-and-cabbage dinner chopped up.  Unexpected but very...,Tastebuds,40,-0.25
David N,Crowded on Thursday; No masks,"Remarkably crowded at 7 on a Thursday night - reservations recommended.
The food was creditable without being special - but we did not get anything that would t...",Santangelo's Restaurant,30,0
David N,Good fresh food; great bargain,It's just what they say - burrito's and bowls - made in front of you.  Friendly people.  A couple of tables but mostly take-out.,Frankie Fresh Burritos & Bowls,40,0.6
David N,New Location; Bakery and Cafe,Smells great when you walk in - the pastry is being baked in back.  A display case separates the kitchen from the tables.  High ceiling.  Noisy.  Competent brea...,Main Street Cakery Cafe,30,0.14
David N,Dark inside but nice porch,"A bar in a distillery district with an inventive menu and service with a smile.  Open on Memorial day, we were able to eat on the porch in the sunshine.",Nail Creek Pub,40,0.22
David N,Thin Crust Pizza - tasty; good servce; tables outside,"In these days of COVID, it was good to have lunch outdoors with everyone spaced and masked.  The place was mostly empty.  The food was very good (mushroom chees...",Roman's,40,0.1
David N,Exotic Comfort Food,"I know that seems like an oxymoron, but for those of us who are not familiar with Jamaican cuisine the choices were ""exotic"" but the ambience, service, and tast...",Peppapot,40,0.5
David N,You won't find this menu anywhere else,"Unusual food well prepared but only so-so. The fish tacos come with a huge piece of breaded fish that didn't really fit the tortilla and what tasted like ""chedd...",Islands Hawaiian Grill,30,0
David N,Just OK,Lots of places are not open on Monday so I tried it for lunch.  Neither the Ruben nor the Cole Slaw had much flavor.  The service was OK.  Prices as expected.  ...,East Ridge Diner and Steakhouse,30,0.5
David N,You have to ask for a fork,"Watch the dumplings being made - but it's more than just dumplings.  Little plates and chopsticks are provided with paper menus.  Lots of Asian faces.
It's just...",Dumpling House,40,0
David N,Friendly but don't come for fine food,At 11:15 the menu was still all breakfast.  The hash was from a can.  Friendly personal service. Inexpensive.,Sam's Diner,20,0.4
David N,Farm stand with Panini & Salad,"While mostly a farm stand with local baked goods and a freezer full of organic meat, there are a half-dozen tables.  They serve fresh local food in a friendly r...",Harrington's Produce,40,0
David N,"Noisy, Large portions, OK food - interesting choices",The parking lot seemed full but there was plenty of space.  Even half-full it was very loud.  Good service.  Large portions of interesting food almost properly ...,Chesterfield's Tavolo,30,0.4
David N,Unusual Menu; Spicy means spicy,We didn't have the frog or the tripe (beef and pork) but they were on the menu.  Dry pot and soupy style very spicy.  3 dishes plenty for 4 people - large porti...,Szechuan Opera,40,0.2
David N,Bar & GrubHub more than restaurant,"In a great location but dark, cold, cavernous, with poor signage inside.  The bartender / cashier was sullen and distracted by all the GrubHub / DoorDash / Uber...",Volo Osteria & Enoteca,20,0.5
David N,"Sauces flavorful, veggies undercooked, Portions large",Fresh spring rolls very large but little flavor; even the dipping sauce was bland.  Huge portions with flavorful sauce but the veggies were undercooked and cut ...,The Friendly Thai,20,0.21
David N,"Canadian Art, well curated, beautiful but remote location","What started as a personal collection by a couple in their house, it has expanded to be a comprehensive collection of many aspects of Canadian art.  Only a smal...",McMichael Canadian Art Collection,40,0.38
David N,A Peach Street Restaurant worth visiting,"An anomaly for Peach Street, home of 1000 chain restaurants and lowest-common-denominator food. Great taste, flexible ""heat"", generous portions, inexpensive.  T...",Thai Eatery,40,0.3
Douglas C,Terrible experience. Coffee never came. ,I had a terrible experience. I went in around 10am on a Thursday in October for breakfast. It was busy but there was only a short wait to be seated. Once I was ...,Sunset Grill,10,-1
Try2TravelSustainably,Beautiful building and art,Currently Fridays after 5 are 1/2 price. The 7 floor museum is beautiful and there are lots of things to see. There are tactile pieces too for those with low vi...,Ushuaia,50,0.85
Try2TravelSustainably,Ice Cream Flights,SO many great flavours to try and milkshakes too. The best thing on the menu is ice cream flights so you dont have to choose just one flavour. Generous portions...,The Andy Warhol Museum,50,0
Try2TravelSustainably,A Canadian must try,"If you don't eat anything else - you have to eat a beaver tail.  Fried dough with your choice of toppings. I don't get anything but sugar on mine, my partner li...",Argentina,50,0
Try2TravelSustainably,A city in a city - worth the trip,We have been to NYC more times than we can count and had never done this. Was so glad we finally took the trip. There is a machine to buy tickets when you arriv...,Brett's Ice Cream,50,0.3
Try2TravelSustainably,A must see,Depending on the season you go in there are lots of activities.  In the winter there is skating and in the summer there is roller skating. There is always runni...,Buenos Aires,50,0
Try2TravelSustainably,Great trail,A great trail for biking or walking. It takes a few hours end to end and at some points you can turn off and find a place to eat or dirnk.,BeaverTails,50,0.8
Try2TravelSustainably,Only open for games,So much lost potential with this space. Good for a football or soccer game. Too bad nothing else happens here. I would not recommend eating here.,Mendoza,30,0
Try2TravelSustainably,Always something to see,"A big open gallery, unique art displays and occasionally they have programs too. The rotating and standing displays are always impressive.",Argentina,50,0
Try2TravelSustainably,A nice in the city park,Often there is a festival of some kind in the summer. Other times of the year it is good to visit for a walk or quiet afternoon.,The Roosevelt Island Tramway,50,0.6
Try2TravelSustainably,A great year round market,The salted caramel pretzels are the best - and it depends on what you like you can find a lot at the Market. There are $4 sandwhiches on the lower level you can...,Central Park,50,0.3
Carmella,Super disappointed for Fresh fans!,I've been coming to Fresh for years and super disappointed this time. Many items forgotten on our greek salad and it was also something I can make at home for a...,Fresh on Spadina,30,-0.01
Carmella,Expected more ,Expectations were high going into Encanto. The food was interesting and local but one dish due to the smell and grainy taste we couldn't eat. The vibe wasn't ha...,Encanto - JosÃ© Avillez,40,0.2
Carmella,Great massage,"Had a wonderful relaxation massage with Samira. She was soothing, intuitive and calming. Would definitely recommend to all French or English guests.",Lima,50,0.8
peter,"From out of town, good find!","Great find, located on queen street, excellent service and quality Indian food, loved the madras curry and ice cold Sura beer.",Little India Restaurant,50,0.88
JohnWil5On,A great evening,"We have fond memories of going to Pilos some 15 years ago on  a previous visit to Ottawa. The service on our visit this time, was first class and very relaxed. ...",Pilos Restaurant,50,0.8
JohnWil5On,Highly recommended and we were not disappointed,We were looking for a restaurant for an anniversary lunch and  Grazie was recommended.  Online reservation was easy. Everything about this ristorante was first ...,Grazie Ristorante,50,0.27
JohnWil5On,Simply - the best,Visited as a family group of 11 on Saturday evening. Main meals were pre booked at the resaurant's request and what a good idea it was. Nothing was too much tro...,Portreath Arms Restaurant,50,0.5
JohnWil5On,Superb value for money,"A little gem of a restaurant that is well worth looking for. I had the pizza, my wife had the lasagne. Both of us rated our meals 5 out of 5.  It's a pity we we...",Hasta La Pasta,50,1
JohnWil5On,Simply the best -,"This was our second visit and it has left us with a nice problem  After our previous visit, just after Hughes and Mae took over the property, we awarded them a ...",La Pillebourdiere,50,0.5
JohnWil5On,The best in the village,Being just a 2 minute was from La Pillebourdiere makes Le Saint Vincent an attractive proposition in order to enjoy the wine and not have to be concerned with d...,Le Saint Vincent,40,1
James B,Edgy little pub ,Great little spot - the dimness adds edge and character. Food was delicious and cocktails were good. Not bad for a pub in the middle of nowhere. ,The Black Dog Village Pub & Bistro,50,-0.24
James B,Best Ramen Bar in Toronto,My go to ramen spot in Toronto. Been coming here for a bowl of heaven for years and it never disappoints. If itÂs your first time trying it out - go for the Red...,Ramen Isshin,50,1
James B,Oldest bar in Sevilla ,The spot was cool for traditional tapa bites. Great way to meet new people since you stand at the bar while youÂre eating and enjoying a drink. Good quality foo...,El Rinconcillo,50,0
James B,Great location and comfortable stay ,"Booked this lodging during my visit to Sevilla. Great room, nicely decorated and clean. The terrace was a great addition to the building and location was perfec...",Matahacas Pool & Luxury,50,0.6
kbatlanta,"Beautiful place, good food  with high prices.","Brunch was quite nice, service and atmosphere. The smoothies, breads and salads were very good. The omelette I ordered was very average and very expensive. No s...",1 Kitchen Toronto,40,0.57
kbatlanta,Amazing authentic Italian gelato. Yum!,Can I rate it 10 stars??? Completely authentic gelato made by Italians. It transports you back to Italy. So good I went back everyday,Mizzica Gelateria & Cafe,50,0.37
kbatlanta,Excellent authentic upscale Italian,Excellent and very authentic Italian food in a beautiful atmosphere. Not too big and not too small. Excellent pasta and the octopus was fantastic. Great drinks ...,Amano Trattoria,50,0.5
kbatlanta,October is a great time to go! Small group a must,Small group tour with only one meeting point and nice small bus. Highly recommend over the giant bus with multiple stops and too many people. This trip leaves a...,Niagara Falls Day Tour with Optional Boat and Behind the Falls,50,0.38
kbatlanta,Very average with long wait,"Over rated average Thai food with long waits to get in. There is nothing special about the menu, very standard Thai dishes prepared very average. Service is goo...",Pai Northern Thai Kitchen,30,-0.12
kbatlanta,Small place with tasty Japanese food,Very small place in Chinatown with excellent Japanese food. Reasonable price. Good service and tasty food. Highly recommend,Yuugi Izagaya,50,-0.12
kbatlanta,Meh. VERY average. Worn out.,"3 pros- nice bed, nice shower, close to subway. ThatÂs all. The hotel is worn out and two really unforgivable things- breakfast was basically leftovers from the...",Aloft New York Brooklyn,30,-0.2
kbatlanta,Perfect nyc bagels,Perfect New York bagels you can only get in nyc. Fresh delicious and fast. Order sheets to avoid the line. Bat in the area.,Leo's Bagels,50,1
kbatlanta,Greasy over rated and awful owners,Average greasy food with a side of ultra  wing nut jobs. Finally removed confederate flag but not the spirit of it. Stay away,OK Cafe,20,-1
kbatlanta,Excellent service but too short and expensive.,"Excellent instructor and service BUT very very expensive and very short ride. Even though the website promised an average ride of 12 minutes, my flight was exac...",querovoar.net,40,0.17
kbatlanta,"Funky atmosphere, good service, French food",Service was excellent and the food was tasty. Loved the fun neon interior. Everyone enjoyed their food. French food with nice size portions at good prices. Woul...,Bisou Bisou,50,0.35
kbatlanta,Needs improvement,"The service at this restaurant was just plain awful. The management apologized but did nothing to make up for it. The food was very average, small portions and ...",NÃ´a Ipanema,30,0
kbatlanta,Great Italian spot on hip ipanema corner,"Charming Italian food in a beautiful White House with nice patio. Service is very good, food excellent and desserts are delicious.",Posi Mozza & Mare,50,0.4
kbatlanta,Never disappoints. Always great,Never disappoints. Been coming here for 20 years. Always delicious. Great service. A must every time I visit rio. Unusual flavors. Great fish.,ZazÃ¡ BistrÃ´ Tropical Ipanema,50,0.8
kbatlanta,Michelin Star worthy perfection,"Michelin star worthy perfection.  The presentation, service, flavors, view are all Outstanding. Give yourself time to get to Santa Teresa. Can take up to an hou...",The Secret Nomad Cooking,50,0.33
kbatlanta,Great tour company with best hotel (palacio),"Great experience even though it might not be the cheapest option. Hidalgo is associated with the palacio de Sal hotel, which is the best place to stay by far. T...",Hidalgo Tours,50,0.9
kbatlanta,"Best hotel in the area, by far !","Best hotel by the salt flats, by far. The only really good hotel in the area. Food and service are excellent. The rooms are very nice, but chose your room caref...",Hotel Palacio de Sal,50,0.56
kbatlanta,Boring and uninspiring,"These reviews are crazy. ItÂs an old abandoned mine with some old trains. There is nothing to see. Have you seen an old train, deserted train tracks?  And old a...",Pueblo Pulacayo,10,-1
kbatlanta,AMAZING Foodie experience! And value!,AMAZING! A foodie must. I was shocked at how inexpensive the food was because the presentation of the multi course meal was exquisite and everything was delicio...,Mi Chola,50,0.94
kbatlanta,Delicious sea food and great atmosphere,Wow the food here is amazing. Seafood has unique presentations and are delicious. Flatbreads have generous portions. Really nice atmosphere and great service. M...,Coco Wood Grill,50,0.9
ValÃ©rie L,Great dining experience,"Kahl and Clement were super nice. Great service. Superb food !!!!! Good location. Overall, loved it. ",Black + Blue,50,0.8
jmelch,You must try this place if in Toronto!,"This is a fantastic place- amazing food and knowledgeable, helpful, friendly staff. We had a later reservation at 8:30, but got there much earlier and they were...",Rasa,50,0
jmelch,Delicious sushi and creative cocktails on a rooftop deck!,Had a wonderful experience at HarrietÂs Rooftop Friday Oct 6. I brought my college aged daughter and her friend there and we thoroughly enjoyed the creative del...,Harriet's Rooftop,50,0.81
jmelch,HNL to Waikiki and back,Great friendly and responsive service to Waikiki and back to the airport.   I will book this company again.  Friendly drivers and great communication with dispa...,Fly Shuttle Tours,50,0
jmelch,Beautiful presentation,"We had dinner here tonight based on reviews, and we have to say that the presentation is fantastic. My husband and I shared the poke nachos, the shrimp Tempura ...",Kuleana Rum Shack,40,0.85
jmelch,2nd floor patio and big screen TVs,This is a good place to watch a game and have a casual dinner while Enjoying a Warm desert evening. They have indoor and outdoor seating. The upstairs patio is ...,Zax,40,0
jmelch,Delightful dinner on the deck,My two friends and I had a wonderful dinner here over Memorial Day weekend. The parking lot is a tight fit and they do not take reservations but we knew about t...,Sunset Grill,50,1
jmelch,Lovely sunset sail!,"Our family of four had a delightful sunset sail
Tonight with Spike, Mike and Captain Chris. There were initially 22 passengers on board the catamaran that can h...",Mauna Lani Sea Adventures,50,0.62
jmelch,"Good pub food, Noisy ",We came here last Friday night to have dinner and watch the hockey game. We waited 30-40 minutes for a table so my husband watched the game at the bar while my ...,Tropics Ale House,40,0.7
jmelch,Great place to spend a night at the volcano,We decided to spend one night at Volcano House to be able to see more of the park and not have to make it such a long day (we are staying on the Kohala Coast). ...,Volcano House,50,0.8
jmelch,Great food and service with a casual fun atmosphere ,"Our family of four had dinner here Sunday night. They donÂt take reservations, you put your name in and they text you when your table is ready. We waited 30-40 ...",The Fish and The Hog,50,0.2
jmelch,Lots of choices but the ono special and the sushi were tops!,"We had a fabulous meal here earlier this week- get the ono special if they have it, it was cooked to perfection which is to say rare in the middle. Most ono is ...",Red Water Cafe,50,0.45
jmelch,"large comfortable rooms, but they nickel and dime you","I stayed at Caesars in September while attending a conference. The rooms were large as was the bathroom (double vanity, separate large tub and shower), with com...",Caesars Palace Las Vegas Hotel & Casino,30,0.31
jmelch,"lovely hotel, very conveniently located","Our family of four stayed here for 5 days in July, and this was our base for exploring Rome, as well as taking day trips to Pompeii and the Amalfi Coast. This h...",Anantara Palazzo Naiadi Rome Hotel,50,0.35
jmelch,a very special resort under the Tuscan sun,"We stayed here in July as part of a conference- our family of four shared a lovely farmhouse with two other families in our group, which was off the main proper...",Il Borro Relais & ChÃ¢teaux,50,0.46
jmelch,great way to see Amalfi Coast if you're not staying there,"The four of us spent a day with Pavo in July, as I'd always wanted to see the Amalfi Coast but we couldn't fit in a stay on the coast itself during this trip. W...",Amalfi Coast from Rome: Boat-Hopping with Limoncello Tasting,50,0.8
jmelch,fantastic tour!,"Our family of four spent a day in Pompeii in July, and thoroughly enjoyed it. We took a bus from Rome, hiked Mt Vesuvius (it was quite chilly and very windy, br...",Pompeii Day Trip with Mount Vesuvius or Amalfi Coast Option,50,0.5
jmelch,fun menu with lots of variety,"I had lunch here yesterday with a friend- it gets busy, so going on the earlier side is helpful. The waitress was friendly and helpful and service was prompt. I...",bartaco,40,0.3
jmelch,Definitely THE way to see the Colosseum!,"We spent three hours with our guide exploring the Colosseum via the Gladiator's Entrance, then went on to the Roman Forum and Palatine Hill. Our family of four ...",Colosseum VIP Access with Arena and Ancient Rome Tour,50,0
jmelch,"Information packed tour, hits the highlights","Our family of four spent the morning at the Vatican, the Sistine Chapel and St Peter's Basilica on July 14. It was a large group, so everyone had headsets to al...","Vatican Museums, Sistine Chapel & St PeterÂs Basilica Guided Tour",50,0
bbalis,Delicious pizza,"Good pizza choices.  Delicious pizza.  Good service.  Nice atmosphere.  I would recommend.  When we went, it wasn't too busy.",Goodfellas Wood Oven Pizza,50,1
bbalis,"Great place and walking distance to Niagara Falls, NY",Comfortable beds.  Accommodating and respectful desk staff.  Clean room and bathroom.  Great air conditioner. Big rooms.  Easy to walk to Niagara Falls on US si...,Sheraton Niagara Falls,50,0.8
bbalis,Wonderful food and service!,"Delicious food - shrimp & grits, sushi, oysters, grouper, key lime pie, gumbo, cheese cake, calamari.  Great service except water refills.",Old Florida Fish House,50,1
bbalis,Great experience,Clean room.  Quiet despite next to interstate.  Convenient location. Comfortable bed.  Check in staff was helpful.  The room provided everything that we needed....,Best Western Plus Belle Meade Inn & Suites,50,0.8
bbalis,Great experience,"Our meals were delicious - Fish & Grits, The Mockingburger.  I want to return to try other menu items.  Atmosphere and service were great.",Mockingbird Kitchen,50,0.8
bbalis,Delicious,"Everything tasted delicious - filet, NY strip, sweet potato casserole, potato au gratin, shoestring potatoes, lobster bisque, salad.  Good service.",Ruth's Chris Steak House,50,1
bbalis,"Beautiful view, great service, good food.","Food was good - bacon wrapped stuffed shrimp, grouper, crab stuffed shrimp, trigger fish. Sides were okay. Great service. Beautiful view.",Fisherman's Wharf,40,0.78
bbalis,Delicious breakfast,My Monterey omelette was delicious and big.  Breakfast dishes we saw looked very good.  Good service.  Busy place.  Breakfast seems to be their popular meals.  ...,Prairie Kitchen,50,1
bbalis,Delicious,"Delicious crÃªpes. Many wonderful choices.  Fast, friendly service. CrÃªpes were warm to the very end. Calm atmosphere.",Crepes Paulette,50,1
bbalis,Fun family experience,Our fam of 4 enjoyed the Switzerland Trail on ATV.  We were happy that we scheduled the full day.  We found a beautiful place for our picnic lunch.  Good servic...,Estes Park ATV Rentals,50,0.3
bbalis,Franklin on Foot FOOD TOUR - Excellent!!!,"We LOVED Margie and this food tour!  Margie is friendly, knowledgeable and shared many interesting facts and experiences.  We experienced a wide variety of deli...",Franklin on Foot,50,1
bbalis,Great food!,All of our food was delicious!  My daughter and I each ordered fondue - Barry's and Peter's.  We could've have shared one fondue and ordered something else to s...,"Barrys Restaurant, Bar & Lounge",50,1
bbalis,Beautiful view and good food!,The weather was perfect to eat outside!  The view was amazing!  The food was good!  My husband said that the surf and turf was the best meal he'd had on our tri...,Hotel Spinne Restaurant,50,0.86
bbalis,Beautiful view and great food!,The view was amazing and the food was delicious!  The weather was perfect for eating outside.  My husband had the delicious red wine risotto and fish.  My daugh...,C und M Cafe Bar Restaurant,50,0.93
bbalis,Delicious Pizza!  Our favorite place!,"We had to wait to be seated, but it was worth it!  The pizza was awesome!  Our waitress was very nice!  We sat outside next to the flower garden.",Onkel Tom's HÃ¼tte,50,0.81
bbalis,Delicious food!  Awesome atmosphere!,We ate here especially for the truffle dishes.  My son's gnocchi potato dumplings with gorganzola and truffle sauce was his favorite meal.  My husband's risotto...,Trattoria Za Za,50,1
bbalis,"Clean, quiet visit","Hotel was clean, quiet and comfortable.  Great price! Great wifi that worked well! Friendly, helpful staff! Shower and toilet were in a room with a door. The si...",Boarders Inn & Suites by Cobblestone Hotels - Ardmore,50,0.18
bbalis,Nice hotel!,This hotel was opened in February 2016 so I didn't see its location on the google map.  They don't have their big sign but easy to find using the address.  The ...,Hampton Inn & Suites Ardmore,50,0.75
jmelch,You must try this place if in Toronto!,"This is a fantastic place- amazing food and knowledgeable, helpful, friendly staff. We had a later reservation at 8:30, but got there much earlier and they were...",Rasa,50,0
jmelch,Delicious sushi and creative cocktails on a rooftop deck!,Had a wonderful experience at HarrietÂs Rooftop Friday Oct 6. I brought my college aged daughter and her friend there and we thoroughly enjoyed the creative del...,Harriet's Rooftop,50,0.81
jmelch,HNL to Waikiki and back,Great friendly and responsive service to Waikiki and back to the airport.   I will book this company again.  Friendly drivers and great communication with dispa...,Fly Shuttle Tours,50,0
jmelch,Beautiful presentation,"We had dinner here tonight based on reviews, and we have to say that the presentation is fantastic. My husband and I shared the poke nachos, the shrimp Tempura ...",Kuleana Rum Shack,40,0.85
jmelch,2nd floor patio and big screen TVs,This is a good place to watch a game and have a casual dinner while Enjoying a Warm desert evening. They have indoor and outdoor seating. The upstairs patio is ...,Zax,40,0
jmelch,Delightful dinner on the deck,My two friends and I had a wonderful dinner here over Memorial Day weekend. The parking lot is a tight fit and they do not take reservations but we knew about t...,Sunset Grill,50,1
jmelch,Lovely sunset sail!,"Our family of four had a delightful sunset sail
Tonight with Spike, Mike and Captain Chris. There were initially 22 passengers on board the catamaran that can h...",Mauna Lani Sea Adventures,50,0.62
jmelch,"Good pub food, Noisy ",We came here last Friday night to have dinner and watch the hockey game. We waited 30-40 minutes for a table so my husband watched the game at the bar while my ...,Tropics Ale House,40,0.7
jmelch,Great place to spend a night at the volcano,We decided to spend one night at Volcano House to be able to see more of the park and not have to make it such a long day (we are staying on the Kohala Coast). ...,Volcano House,50,0.8
jmelch,Great food and service with a casual fun atmosphere ,"Our family of four had dinner here Sunday night. They donÂt take reservations, you put your name in and they text you when your table is ready. We waited 30-40 ...",The Fish and The Hog,50,0.2
jmelch,Lots of choices but the ono special and the sushi were tops!,"We had a fabulous meal here earlier this week- get the ono special if they have it, it was cooked to perfection which is to say rare in the middle. Most ono is ...",Red Water Cafe,50,0.45
jmelch,"large comfortable rooms, but they nickel and dime you","I stayed at Caesars in September while attending a conference. The rooms were large as was the bathroom (double vanity, separate large tub and shower), with com...",Caesars Palace Las Vegas Hotel & Casino,30,0.31
jmelch,"lovely hotel, very conveniently located","Our family of four stayed here for 5 days in July, and this was our base for exploring Rome, as well as taking day trips to Pompeii and the Amalfi Coast. This h...",Anantara Palazzo Naiadi Rome Hotel,50,0.35
jmelch,a very special resort under the Tuscan sun,"We stayed here in July as part of a conference- our family of four shared a lovely farmhouse with two other families in our group, which was off the main proper...",Il Borro Relais & ChÃ¢teaux,50,0.46
jmelch,great way to see Amalfi Coast if you're not staying there,"The four of us spent a day with Pavo in July, as I'd always wanted to see the Amalfi Coast but we couldn't fit in a stay on the coast itself during this trip. W...",Amalfi Coast from Rome: Boat-Hopping with Limoncello Tasting,50,0.8
jmelch,fantastic tour!,"Our family of four spent a day in Pompeii in July, and thoroughly enjoyed it. We took a bus from Rome, hiked Mt Vesuvius (it was quite chilly and very windy, br...",Pompeii Day Trip with Mount Vesuvius or Amalfi Coast Option,50,0.5
jmelch,fun menu with lots of variety,"I had lunch here yesterday with a friend- it gets busy, so going on the earlier side is helpful. The waitress was friendly and helpful and service was prompt. I...",bartaco,40,0.3
jmelch,Definitely THE way to see the Colosseum!,"We spent three hours with our guide exploring the Colosseum via the Gladiator's Entrance, then went on to the Roman Forum and Palatine Hill. Our family of four ...",Colosseum VIP Access with Arena and Ancient Rome Tour,50,0
jmelch,"Information packed tour, hits the highlights","Our family of four spent the morning at the Vatican, the Sistine Chapel and St Peter's Basilica on July 14. It was a large group, so everyone had headsets to al...","Vatican Museums, Sistine Chapel & St PeterÂs Basilica Guided Tour",50,0
Alicia D,Perfect little gem,"Great little gem hidden off the beaten path! Came here for a quick breakfast and really enjoyed it! The breakfast sandwich was delicious, a little spicy which I...",French Made,50,0.41
Alicia D,Great neighborhood staple,"We went down to Little Italy excited to try some authentic Italian food and stumbled into this place. So happy we gave it a shot! From the outside, it is not fa...",CafÃ© Diplomatico,50,0.8
